Date,Open,High,Low,Close,Volume,Average
2023/11/21 08:45,17281,17292,17280,17288,1147,17288.0
2023/11/21 08:46,17287,17298,17286,17294,645,17290.159598214286
2023/11/21 08:47,17293,17304,17293,17301,557,17292.730097914005
2023/11/21 08:48,17300,17304,17299,17304,333,17294.129381058912
2023/11/21 08:49,17304,17304,17299,17304,290,17295.092530282636
2023/11/21 08:50,17305,17309,17305,17308,237,17296.045808663133
2023/11/21 08:51,17308,17313,17308,17313,378,17297.83245051575
2023/11/21 08:52,17314,17322,17313,17320,463,17300.366666666665
2023/11/21 08:53,17320,17325,17318,17324,447,17302.71581054036
2023/11/21 08:54,17325,17327,17319,17320,272,17303.701614594254
2023/11/21 08:55,17321,17323,17313,17314,330,17304.36811139439
2023/11/21 08:56,17315,17321,17313,17321,260,17305.175032655345
2023/11/21 08:57,17320,17322,17319,17321,148,17305.60032685673
2023/11/21 08:58,17321,17322,17314,17318,168,17305.967400881058
2023/11/21 08:59,17317,17320,17315,17319,103,17306.199723087575
2023/11/21 09:00,17319,17326,17313,17324,1015,17308.859414102753
2023/11/21 09:01,17325,17328,17319,17326,581,17310.20992676973
2023/11/21 09:02,17325,17337,17325,17334,809,17312.561896614934
2023/11/21 09:03,17334,17337,17329,17330,446,17313.46320546993
2023/11/21 09:04,17330,17332,17321,17322,359,17313.804183355584
2023/11/21 09:05,17322,17330,17318,17330,495,17314.649583465147
2023/11/21 09:06,17330,17331,17324,17325,261,17314.92682676519
2023/11/21 09:07,17325,17326,17320,17324,292,17315.19081307294
2023/11/21 09:08,17324,17332,17323,17328,304,17315.567408123792
2023/11/21 09:09,17328,17344,17328,17342,889,17317.660076587406
2023/11/21 09:10,17340,17345,17337,17342,574,17318.843768533425
2023/11/21 09:11,17341,17345,17333,17345,429,17319.761118378025
2023/11/21 09:12,17345,17349,17344,17347,642,17321.11946558956
2023/11/21 09:13,17348,17349,17343,17345,325,17321.70747783923
2023/11/21 09:14,17343,17355,17339,17355,692,17323.36599236916
2023/11/21 09:15,17354,17356,17348,17350,717,17324.673261226726
2023/11/21 09:16,17350,17352,17348,17351,311,17325.222065822105
2023/11/21 09:17,17351,17362,17349,17362,700,17326.87035021448
2023/11/21 09:18,17362,17376,17361,17372,1315,17330.374867131217
2023/11/21 09:19,17371,17376,17370,17370,602,17331.735173357665
2023/11/21 09:20,17371,17380,17367,17371,935,17333.722754588274
