Date,Open,High,Low,Close,Volume
2025/1/6 08:46,23222,23260,23218,23257,1225
2025/1/6 08:47,23257,23263,23242,23262,577
2025/1/6 08:48,23261,23284,23261,23280,687
2025/1/6 08:49,23279,23289,23274,23286,504
2025/1/6 08:50,23287,23302,23285,23299,519
2025/1/6 08:51,23300,23308,23294,23306,337
2025/1/6 08:52,23305,23306,23287,23290,296
2025/1/6 08:53,23289,23290,23284,23286,221
2025/1/6 08:54,23286,23290,23285,23289,107
2025/1/6 08:55,23288,23290,23280,23284,203
2025/1/6 08:56,23283,23287,23277,23283,243
2025/1/6 08:57,23283,23284,23277,23284,126
2025/1/6 08:58,23284,23294,23284,23294,212
2025/1/6 08:59,23294,23302,23289,23298,262
2025/1/6 09:00,23299,23317,23297,23302,565
2025/1/6 09:01,23302,23326,23298,23314,885
2025/1/6 09:02,23312,23328,23310,23315,637
2025/1/6 09:03,23315,23318,23264,23283,1041
2025/1/6 09:04,23286,23315,23279,23285,859
2025/1/6 09:05,23286,23292,23276,23285,437
2025/1/6 09:06,23285,23293,23269,23274,474
2025/1/6 09:07,23273,23297,23272,23294,356
2025/1/6 09:08,23293,23310,23288,23304,395
2025/1/6 09:09,23301,23305,23296,23304,236
2025/1/6 09:10,23304,23310,23292,23292,329
2025/1/6 09:11,23294,23302,23283,23293,295
2025/1/6 09:12,23292,23318,23292,23306,477
2025/1/6 09:13,23307,23336,23305,23326,1033
2025/1/6 09:14,23325,23335,23324,23324,349
2025/1/6 09:15,23324,23335,23321,23327,351
2025/1/6 09:16,23327,23347,23326,23341,760
2025/1/6 09:17,23341,23348,23340,23340,341
2025/1/6 09:18,23340,23349,23338,23346,334
2025/1/6 09:19,23347,23352,23345,23348,451
2025/1/6 09:20,23348,23356,23346,23346,360
2025/1/6 09:21,23346,23352,23336,23339,369
2025/1/6 09:22,23338,23348,23333,23339,270
2025/1/6 09:23,23339,23347,23339,23343,142
2025/1/6 09:24,23343,23348,23327,23330,255
2025/1/6 09:25,23332,23350,23329,23334,243
2025/1/6 09:26,23334,23340,23326,23328,216
2025/1/6 09:27,23328,23336,23328,23331,115
2025/1/6 09:28,23335,23343,23335,23342,120
2025/1/6 09:29,23341,23358,23341,23350,447
2025/1/6 09:30,23350,23356,23345,23351,206
2025/1/6 09:31,23351,23360,23350,23360,341
2025/1/6 09:32,23360,23368,23358,23362,452
2025/1/6 09:33,23362,23364,23351,23354,197
2025/1/6 09:34,23354,23375,23354,23367,518
2025/1/6 09:35,23366,23379,23362,23379,418
2025/1/6 09:36,23379,23382,23371,23373,425
2025/1/6 09:37,23374,23388,23371,23384,493
2025/1/6 09:38,23386,23398,23385,23388,787
2025/1/6 09:39,23390,23401,23383,23389,719
2025/1/6 09:40,23389,23394,23385,23390,212
2025/1/6 09:41,23391,23400,23390,23396,241
2025/1/6 09:42,23396,23404,23395,23402,396
2025/1/6 09:43,23401,23408,23400,23400,280
2025/1/6 09:44,23401,23414,23401,23412,309
2025/1/6 09:45,23412,23415,23409,23414,301
2025/1/6 09:46,23413,23422,23408,23421,723
2025/1/6 09:47,23421,23426,23418,23423,350
2025/1/6 09:48,23425,23438,23417,23431,486
2025/1/6 09:49,23432,23434,23416,23420,293
2025/1/6 09:50,23421,23431,23421,23422,217
2025/1/6 09:51,23421,23421,23408,23409,273
2025/1/6 09:52,23408,23415,23408,23413,180
2025/1/6 09:53,23412,23419,23408,23419,223
2025/1/6 09:54,23419,23426,23419,23424,153
2025/1/6 09:55,23424,23427,23416,23421,126
2025/1/6 09:56,23420,23426,23417,23420,167
2025/1/6 09:57,23420,23423,23414,23415,100
2025/1/6 09:58,23415,23429,23415,23429,156
2025/1/6 09:59,23429,23438,23425,23434,298
2025/1/6 10:00,23434,23440,23423,23424,248
2025/1/6 10:01,23423,23425,23409,23419,286
2025/1/6 10:02,23419,23435,23419,23433,190
2025/1/6 10:03,23433,23436,23428,23429,128
2025/1/6 10:04,23428,23430,23416,23418,156
2025/1/6 10:05,23418,23429,23416,23429,102
2025/1/6 10:06,23428,23431,23427,23428,82
2025/1/6 10:07,23427,23439,23426,23435,234
2025/1/6 10:08,23437,23443,23437,23438,197
2025/1/6 10:09,23438,23438,23424,23432,177
2025/1/6 10:10,23432,23434,23428,23432,102
2025/1/6 10:11,23432,23439,23431,23436,188
2025/1/6 10:12,23436,23441,23435,23438,96
2025/1/6 10:13,23439,23445,23438,23442,223
2025/1/6 10:14,23443,23449,23441,23448,161
2025/1/6 10:15,23448,23452,23444,23449,345
2025/1/6 10:16,23449,23469,23447,23465,714
2025/1/6 10:17,23465,23472,23464,23470,311
2025/1/6 10:18,23470,23482,23469,23482,468
2025/1/6 10:19,23482,23483,23475,23479,178
2025/1/6 10:20,23479,23483,23474,23482,283
2025/1/6 10:21,23483,23486,23481,23483,215
2025/1/6 10:22,23482,23492,23480,23490,299
2025/1/6 10:23,23491,23501,23490,23500,475
2025/1/6 10:24,23500,23502,23497,23500,174
2025/1/6 10:25,23499,23500,23493,23497,186
2025/1/6 10:26,23498,23499,23482,23484,334
2025/1/6 10:27,23482,23495,23482,23493,190
2025/1/6 10:28,23492,23493,23486,23492,119
2025/1/6 10:29,23492,23499,23490,23491,177
2025/1/6 10:30,23490,23497,23490,23497,249
2025/1/6 10:31,23498,23500,23495,23499,157
2025/1/6 10:32,23499,23501,23497,23500,229
2025/1/6 10:33,23500,23501,23498,23500,151
2025/1/6 10:34,23500,23513,23500,23513,349
2025/1/6 10:35,23514,23519,23511,23514,304
2025/1/6 10:36,23515,23516,23492,23500,343
2025/1/6 10:37,23500,23506,23499,23503,116
2025/1/6 10:38,23504,23508,23497,23497,118
2025/1/6 10:39,23497,23502,23497,23501,75
2025/1/6 10:40,23501,23501,23497,23498,65
2025/1/6 10:41,23498,23502,23492,23498,116
2025/1/6 10:42,23500,23501,23497,23499,118
2025/1/6 10:43,23498,23499,23482,23482,287
2025/1/6 10:44,23484,23484,23476,23478,264
2025/1/6 10:45,23478,23488,23477,23486,159
2025/1/6 10:46,23486,23486,23472,23478,213
2025/1/6 10:47,23479,23490,23479,23488,157
2025/1/6 10:48,23490,23499,23490,23496,145
2025/1/6 10:49,23496,23499,23495,23499,69
2025/1/6 10:50,23500,23510,23498,23509,214
2025/1/6 10:51,23509,23512,23499,23501,149
2025/1/6 10:52,23500,23507,23498,23506,152
2025/1/6 10:53,23507,23508,23502,23504,87
2025/1/6 10:54,23503,23506,23499,23499,106
2025/1/6 10:55,23499,23502,23496,23502,71
2025/1/6 10:56,23503,23515,23503,23513,361
2025/1/6 10:57,23513,23526,23511,23526,471
2025/1/6 10:58,23524,23533,23524,23525,485
2025/1/6 10:59,23524,23529,23519,23519,267
2025/1/6 11:00,23520,23521,23511,23515,258
2025/1/6 11:01,23514,23519,23512,23514,136
2025/1/6 11:02,23513,23522,23513,23522,96
2025/1/6 11:03,23522,23526,23520,23522,129
2025/1/6 11:04,23522,23531,23522,23528,131
2025/1/6 11:05,23528,23530,23526,23528,69
2025/1/6 11:06,23528,23531,23523,23523,81
2025/1/6 11:07,23525,23526,23520,23526,47
2025/1/6 11:08,23526,23538,23526,23534,281
2025/1/6 11:09,23535,23535,23522,23523,127
2025/1/6 11:10,23521,23522,23515,23521,476
2025/1/6 11:11,23522,23532,23518,23531,156
2025/1/6 11:12,23531,23533,23527,23530,62
2025/1/6 11:13,23530,23534,23530,23531,50
2025/1/6 11:14,23531,23535,23531,23532,76
