Date,Open,High,Low,Close,Volume,strength,largeorder,score,Average
2025/7/15 08:46,22529,22560,22512,22547,927,,,,22547
2025/7/15 08:47,22545,22552,22516,22531,550,,,,22541.04198
2025/7/15 08:48,22530,22530,22513,22519,557,,,,22535.0059
2025/7/15 08:49,22517,22526,22514,22521,167,,,,22533.94321
2025/7/15 08:50,22522,22530,22518,22525,85,,,,22533.61067
2025/7/15 08:51,22526,22526,22515,22518,148,,,,22532.66146
2025/7/15 08:52,22520,22531,22520,22528,96,,,,22532.48458
2025/7/15 08:53,22530,22533,22521,22530,150,,,,22532.34552
2025/7/15 08:54,22530,22533,22525,22529,117,,,,22532.20558
2025/7/15 08:55,22531,22539,22528,22539,102,,,,22532.44464
2025/7/15 08:56,22539,22545,22531,22544,176,,,,22533.10602
2025/7/15 08:57,22544,22548,22539,22540,254,,,,22533.63202
2025/7/15 08:58,22538,22539,22534,22538,110,,,,22533.77174
2025/7/15 08:59,22540,22543,22536,22540,86,,,,22533.92369
2025/7/15 09:00,22541,22543,22536,22543,127,,,,22534.23932
2025/7/15 09:01,22544,22565,22536,22553,763,,,,22537.48154
2025/7/15 09:02,22553,22558,22541,22551,239,,,,22538.17576
2025/7/15 09:03,22553,22559,22537,22554,290,,,,22539.10396
2025/7/15 09:04,22552,22562,22539,22550,233,,,,22539.59436
2025/7/15 09:05,22552,22565,22551,22558,247,,,,22540.43252
2025/7/15 09:06,22558,22562,22553,22558,141,,,,22540.87763
2025/7/15 09:07,22559,22573,22559,22568,321,,,,22542.35678
2025/7/15 09:08,22569,22580,22568,22577,257,,,,22543.80612
2025/7/15 09:09,22580,22586,22577,22577,240,,,,22545.05421
2025/7/15 09:10,22579,22585,22577,22585,176,,,,22546.12609
2025/7/15 09:11,22584,22588,22572,22575,269,,,,22547.26362
2025/7/15 09:12,22574,22583,22571,22581,188,,,,22548.16762
2025/7/15 09:13,22581,22588,22576,22582,173,,,,22548.98178
2025/7/15 09:14,22582,22591,22571,22574,354,,,,22550.15591
2025/7/15 09:15,22575,22588,22571,22587,185,,,,22551.03791
2025/7/15 09:16,22587,22607,22585,22607,527,,,,22554.61054
2025/7/15 09:17,22608,22608,22595,22600,259,,,,22555.99131
2025/7/15 09:18,22600,22601,22588,22590,188,,,,22556.72604
2025/7/15 09:19,22587,22592,22563,22569,444,,,,22557.32189
2025/7/15 09:20,22567,22584,22566,22582,178,,,,22557.79301
2025/7/15 09:21,22582,22590,22580,22586,119,,,,22558.14847
2025/7/15 09:22,22586,22603,22586,22596,243,,,,22559.09808
2025/7/15 09:23,22596,22605,22577,22583,400,,,,22560.046
2025/7/15 09:24,22583,22594,22568,22577,726,53,-550,-12,22561
2025/7/15 09:25,22577,22604,22576,22600,285,209,-404,-4,22562
2025/7/15 09:26,22599,22621,22598,22620,592,582,-153,11,22565
2025/7/15 09:27,22621,22628,22615,22624,448,729,40,21,22566
2025/7/15 09:28,22623,22626,22607,22617,243,678,13,18,22567
2025/7/15 09:29,22619,22621,22614,22617,107,675,-54,16,22568
2025/7/15 09:30,22618,22623,22615,22619,125,884,43,24,22569
2025/7/15 09:31,22618,22640,22618,22632,589,1054,260,34,22571
2025/7/15 09:32,22633,22640,22633,22639,169,1114,21,33,22572
2025/7/15 09:33,22639,22644,22635,22639,213,1156,-95,31,22573
2025/7/15 09:34,22640,22641,22631,22633,141,1080,-234,24,22574
2025/7/15 09:35,22633,22635,22625,22626,159,1000,-363,22,22574
2025/7/15 09:36,22628,22632,22623,22623,130,986,-499,17,22575
2025/7/15 09:37,22624,22630,22622,22625,140,1028,-536,18,22575
2025/7/15 09:38,22626,22631,22625,22626,80,1030,-503,18,22576
2025/7/15 09:39,22628,22637,22626,22636,109,1093,-717,14,22576
2025/7/15 09:40,22638,22640,22632,22634,178,1067,-691,16,22577
2025/7/15 09:41,22632,22653,22632,22638,714,1437,-572,30,22580
2025/7/15 09:42,22638,22647,22638,22646,135,1437,-996,22,22581
2025/7/15 09:43,22647,22658,22644,22657,259,1594,-863,27,22582
2025/7/15 09:44,22655,22680,22655,22679,784,2020,-745,44,22586
2025/7/15 09:45,22677,22706,22673,22704,860,2643,-287,72,22594
2025/7/15 09:46,22704,22730,22702,22712,1441,2831,-358,76,22601
2025/7/15 09:47,22712,22737,22712,22724,719,3168,-356,85,22606
2025/7/15 09:48,22729,22733,22720,22723,343,3154,-379,85,22608
2025/7/15 09:49,22726,22732,22718,22723,332,3114,-369,85,22610
2025/7/15 09:50,22726,22739,22722,22733,469,3203,-195,92,22613
2025/7/15 09:51,22733,22742,22724,22742,533,3500,528,115,22616
2025/7/15 09:52,22742,22765,22742,22763,829,3858,330,120,22621
2025/7/15 09:53,22762,22789,22762,22783,812,4019,274,124,22627
2025/7/15 09:54,22781,22792,22777,22783,494,4032,390,126,22629
2025/7/15 09:55,22782,22787,22776,22784,202,4073,369,126,22631
2025/7/15 09:56,22786,22789,22770,22770,472,3967,209,121,22634
2025/7/15 09:57,22770,22772,22755,22756,496,3986,330,123,22636
2025/7/15 09:58,22758,22774,22758,22772,278,4022,435,128,22638
2025/7/15 09:59,22773,22779,22770,22775,169,4075,1017,140,22639
2025/7/15 10:00,22774,22825,22770,22822,1226,4740,1664,173,22648
2025/7/15 10:01,22824,22864,22823,22864,1082,4905,1717,181,22657
2025/7/15 10:02,22863,22882,22856,22860,1064,4765,1497,169,22662
2025/7/15 10:03,22860,22864,22844,22847,564,4679,1512,168,22666
2025/7/15 10:04,22850,22856,22839,22843,717,4476,1346,158,22671
