date,open,high,low,close,volume,range,conditions,first_trade_ratio,first_trade_start_close,first_trade_end_close,first_trade_high,first_trade_low,second_trade_ratio,second_trade_start_close,second_trade_end_close,second_trade_high,second_trade_low,final_trade_ratio,final_trade_start_close,final_trade_end_close,final_trade_high,final_trade_low,final_high_is_daily_high,final_low_is_daily_low
20230801,17160.0,17218.0,17090.0,17182.0,91998.0,128.0,day_time_segment_ratio,0.6129032258064516,17184.0,17207.0,17213.0,17158.0,0.8666666666666667,17202.0,17116.0,17218.0,17090.0,0.5815899581589958,17117.0,17182.0,17205.0,17106.0,False,False
20230802,17093.0,17162.0,16806.0,16814.0,136576.0,356.0,"day_high_volatility, day_strong_trend, day_reversal, day_time_segment_ratio",0.9354838709677419,17110.0,17144.0,17149.0,17086.0,0.23333333333333334,17145.0,17129.0,17162.0,17111.0,1.0,17130.0,16814.0,17136.0,16806.0,False,True
20230804,16720.0,16863.0,16715.0,16824.0,96578.0,148.0,"day_strong_trend, day_reversal, day_time_segment_ratio",0.8064516129032258,16742.0,16760.0,16795.0,16715.0,0.4666666666666667,16743.0,16794.0,16814.0,16728.0,0.9916317991631799,16786.0,16824.0,16863.0,16757.0,True,False
20230807,16859.0,17027.0,16836.0,17002.0,93444.0,191.0,"day_strong_trend, day_reversal, day_time_segment_ratio",0.6451612903225806,16862.0,16906.0,16915.0,16836.0,0.16666666666666666,16897.0,16894.0,16918.0,16865.0,0.9916317991631799,16896.0,17002.0,17027.0,16873.0,True,False
20230808,17020.0,17026.0,16757.0,16853.0,114639.0,269.0,"day_high_volatility, day_strong_trend, day_reversal, day_time_segment_ratio",0.8387096774193549,17004.0,16930.0,17026.0,16916.0,1.0,16920.0,16853.0,16948.0,16828.0,0.058577405857740586,16838.0,16853.0,16887.0,16757.0,False,True
20230809,16815.0,16935.0,16780.0,16852.0,99067.0,155.0,"day_reversal, day_time_segment_ratio",0.5806451612903226,16834.0,16879.0,16882.0,16785.0,0.0,16892.0,16889.0,16935.0,16873.0,0.8284518828451883,16903.0,16852.0,16932.0,16780.0,False,True
20230810,16788.0,16797.0,16584.0,16660.0,114970.0,213.0,"day_high_volatility, day_strong_trend, day_reversal, day_time_segment_ratio",0.6774193548387096,16783.0,16725.0,16797.0,16691.0,1.0,16719.0,16625.0,16739.0,16584.0,0.1087866108786611,16641.0,16660.0,16675.0,16594.0,False,False
20230811,16711.0,16754.0,16574.0,16625.0,95141.0,180.0,"day_reversal, day_time_segment_ratio",0.41935483870967744,16726.0,16734.0,16739.0,16693.0,0.6666666666666666,16732.0,16684.0,16754.0,16681.0,0.9874476987447699,16678.0,16625.0,16718.0,16574.0,False,True
20230814,16567.0,16570.0,16306.0,16378.0,119643.0,264.0,"day_high_volatility, day_strong_trend, day_reversal, day_time_segment_ratio",0.967741935483871,16541.0,16477.0,16570.0,16428.0,0.7333333333333333,16492.0,16443.0,16497.0,16417.0,1.0,16437.0,16378.0,16446.0,16306.0,False,True
20230815,16471.0,16540.0,16422.0,16422.0,78803.0,118.0,"day_reversal, day_time_segment_ratio",0.8064516129032258,16469.0,16473.0,16518.0,16460.0,0.7666666666666667,16482.0,16528.0,16529.0,16468.0,0.8828451882845189,16525.0,16422.0,16540.0,16422.0,True,True
20230816,16300.0,16413.0,16290.0,16364.0,55724.0,123.0,"day_reversal, day_time_segment_ratio",0.967741935483871,16301.0,16332.0,16360.0,16290.0,0.6666666666666666,16325.0,16383.0,16393.0,16295.0,0.18303571428571427,16380.0,16364.0,16413.0,16337.0,True,False
20230817,16261.0,16493.0,16205.0,16454.0,124667.0,288.0,"day_high_volatility, day_strong_trend, day_reversal, day_time_segment_ratio",0.45161290322580644,16256.0,16270.0,16273.0,16226.0,0.7666666666666667,16267.0,16312.0,16325.0,16205.0,1.0,16315.0,16454.0,16493.0,16307.0,True,False
20230818,16422.0,16541.0,16320.0,16352.0,118103.0,221.0,"day_high_volatility, day_reversal, day_time_segment_ratio",0.5483870967741935,16416.0,16416.0,16440.0,16392.0,1.0,16422.0,16505.0,16518.0,16414.0,0.8200836820083682,16508.0,16352.0,16541.0,16320.0,True,True
20230821,16424.0,16474.0,16325.0,16351.0,91743.0,149.0,"day_reversal, day_time_segment_ratio",0.4838709677419355,16438.0,16398.0,16474.0,16397.0,0.0,16376.0,16393.0,16417.0,16360.0,0.895397489539749,16375.0,16351.0,16421.0,16325.0,False,True
20230822,16495.0,16507.0,16380.0,16401.0,86226.0,127.0,"day_strong_trend, day_reversal, day_time_segment_ratio",0.7741935483870968,16495.0,16425.0,16507.0,16424.0,0.1,16431.0,16435.0,16476.0,16413.0,0.9163179916317992,16433.0,16401.0,16460.0,16380.0,False,True
