date,first_trade_class,first_trade_change,first_trade_high,first_trade_low,second_trade_class,second_trade_change,second_trade_high,second_trade_low,final_trade_class,final_trade_change,final_trade_high,final_trade_low,final_high_is_daily_high,final_low_is_daily_low,combination
20230801,Medium,Up,17213.0,17158.0,High,Down,17218.0,17090.0,Medium,Up,17205.0,17106.0,False,False,Medium_Up_High_Down_Medium_Up_Nh_Nl
20230802,High,Up,17149.0,17086.0,Low,Down,17162.0,17111.0,High,Down,17136.0,16806.0,False,True,High_Up_Low_Down_High_Down_Nh_L
20230804,High,Up,16795.0,16715.0,Medium,Up,16814.0,16728.0,High,Up,16863.0,16757.0,True,False,High_Up_Medium_Up_High_Up_H_Nl
20230807,Medium,Up,16915.0,16836.0,Low,Down,16918.0,16865.0,High,Up,17027.0,16873.0,True,False,Medium_Up_Low_Down_High_Up_H_Nl
20230808,High,Down,17026.0,16916.0,High,Down,16948.0,16828.0,Low,Up,16887.0,16757.0,False,True,High_Down_High_Down_Low_Up_Nh_L
20230809,Medium,Up,16882.0,16785.0,Low,Down,16935.0,16873.0,High,Down,16932.0,16780.0,False,True,Medium_Up_Low_Down_High_Down_Nh_L
20230810,Medium,Down,16797.0,16691.0,High,Down,16739.0,16584.0,Low,Up,16675.0,16594.0,False,False,Medium_Down_High_Down_Low_Up_Nh_Nl
20230811,Medium,Up,16739.0,16693.0,Medium,Down,16754.0,16681.0,High,Down,16718.0,16574.0,False,True,Medium_Up_Medium_Down_High_Down_Nh_L
20230814,High,Down,16570.0,16428.0,Medium,Down,16497.0,16417.0,High,Down,16446.0,16306.0,False,True,High_Down_Medium_Down_High_Down_Nh_L
20230815,High,Up,16518.0,16460.0,Medium,Up,16529.0,16468.0,High,Down,16540.0,16422.0,True,True,High_Up_Medium_Up_High_Down_H_L
20230816,High,Up,16360.0,16290.0,Medium,Up,16393.0,16295.0,Low,Down,16413.0,16337.0,True,False,High_Up_Medium_Up_Low_Down_H_Nl
20230817,Medium,Up,16273.0,16226.0,Medium,Up,16325.0,16205.0,High,Up,16493.0,16307.0,True,False,Medium_Up_Medium_Up_High_Up_H_Nl
20230818,Medium,Flat,16440.0,16392.0,High,Up,16518.0,16414.0,High,Down,16541.0,16320.0,True,True,Medium_Flat_High_Up_High_Down_H_L
20230821,Medium,Down,16474.0,16397.0,Low,Up,16417.0,16360.0,High,Down,16421.0,16325.0,False,True,Medium_Down_Low_Up_High_Down_Nh_L
20230822,Medium,Down,16507.0,16424.0,Low,Up,16476.0,16413.0,High,Down,16460.0,16380.0,False,True,Medium_Down_Low_Up_High_Down_Nh_L
20230823,High,Up,16500.0,16405.0,Low,Down,16523.0,16451.0,High,Up,16561.0,16460.0,True,False,High_Up_Low_Down_High_Up_H_Nl
20230824,High,Down,16792.0,16692.0,Medium,Up,16760.0,16697.0,Medium,Up,16798.0,16670.0,True,True,High_Down_Medium_Up_Medium_Up_H_L
20230825,Medium,Up,16586.0,16526.0,Medium,Down,16585.0,16502.0,High,Down,16567.0,16415.0,False,True,Medium_Up_Medium_Down_High_Down_Nh_L
20230828,Medium,Up,16530.0,16464.0,Medium,Up,16534.0,16470.0,Medium,Down,16548.0,16461.0,True,True,Medium_Up_Medium_Up_Medium_Down_H_L
20230829,High,Down,16581.0,16500.0,Low,Up,16547.0,16504.0,Medium,Up,16632.0,16453.0,True,True,High_Down_Low_Up_Medium_Up_H_L
20230830,High,Up,16767.0,16724.0,High,Up,16776.0,16737.0,High,Down,16778.0,16695.0,True,True,High_Up_High_Up_High_Down_H_L
20230831,High,Down,16731.0,16640.0,Low,Up,16677.0,16624.0,High,Down,16688.0,16602.0,False,True,High_Down_Low_Up_High_Down_Nh_L
20230901,High,Up,16674.0,16600.0,High,Up,16688.0,16644.0,Low,Down,16727.0,16640.0,True,False,High_Up_High_Up_Low_Down_H_Nl
